date,symbol,name,weight_percent,shares
2026-08-07,2330.TW,台積電,17.14,12680000
2026-08-07,3017.TW,奇鋐,5.48,3450000
2026-08-07,2303.TW,聯電,5.23,79000000
2026-08-07,3037.TW,欣興,4.61,8460000
2026-08-07,2383.TW,台光電,4.47,1495000
2026-08-07,2454.TW,聯發科,4.45,2000000
2026-08-07,2344.TW,華邦電,3.94,42300000
2026-08-07,6223.TW,旺矽,3.65,1050000
2026-08-07,2345.TW,智邦,2.91,2307000
2026-08-07,2308.TW,台達電,2.86,3040000
2026-08-07,3653.TW,健策,2.57,1030000
2026-08-07,3711.TW,日月光投控,2.5,7500000
2026-08-07,2327.TW,國巨*,2.46,8000000
2026-08-07,3189.TW,景碩,1.99,4250000
2026-08-07,6669.TW,緯穎,1.74,500000
2026-08-07,5274.TW,信驊,1.72,184500
2026-08-07,3665.TW,貿聯-KY,1.51,1200000
2026-08-07,4958.TW,臻鼎-KY,1.4,5200000
2026-08-07,6274.TW,台燿,1.38,1680000
2026-08-07,3533.TW,嘉澤,1.35,1240000
2026-08-07,3443.TW,創意,1.32,510000
2026-08-07,6488.TW,環球晶,1.32,2646000
2026-08-07,8046.TW,南電,1.08,1750000
2026-08-07,2360.TW,致茂,1.04,897000
2026-08-07,8996.TW,高力,0.95,1600000
2026-08-07,6239.TW,力成,0.8,5330000
2026-08-07,7769.TW,鴻勁,0.72,200000
2026-08-07,6805.TW,富世達,0.67,700000
2026-08-07,3008.TW,大立光,0.65,260000
2026-08-07,1560.TW,中砂,0.57,1500000
2026-08-07,2337.TW,旺宏,0.52,7498000
2026-08-07,2317.TW,鴻海,0.47,3200000
2026-08-07,3211.TW,順達,0.39,2000000
2026-08-07,3450.TW,聯鈞,0.38,1400000
2026-08-07,3583.TW,辛耘,0.36,900000
2026-08-07,8358.TW,金居,0.26,1312000
2026-08-07,2049.TW,上銀,0.22,1010000
2026-08-07,4966.TW,譜瑞-KY,0.17,500000
2026-08-07,6442.TW,光聖,0.17,225000
2026-08-07,2404.TW,漢唐,0.16,250000
2026-08-07,1303.TW,南亞,0.11,1000000
2026-08-07,2481.TW,強茂,0.08,1100000
2026-08-07,3264.TW,欣銓,0.08,700000
2026-08-07,6415.TW,矽力*-KY,0.08,300000
2026-08-07,2455.TW,全新,0.07,336000
2026-08-07,1717.TW,長興,0.06,1500000
2026-08-07,6285.TW,啟碁,0.05,350000
2026-08-07,8299.TW,群聯,0.0,1000
2026-08-07,5347.TW,世界,0.0,1000
2026-08-07,6196.TW,帆宣,0.0,1000
