date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-07-20,2059.TW,川湖,293000,293000,0,6.23,6.3,unchanged
2026-07-20,2303.TW,聯電,7000000,7000000,0,2.72,2.53,unchanged
2026-07-20,2327.TW,國巨*,2066000,2066000,0,3.89,3.61,unchanged
2026-07-20,2330.TW,台積電,1406000,1406000,0,8.68,9.05,unchanged
2026-07-20,2337.TW,旺宏,1343000,1343000,0,0.45,0.44,unchanged
2026-07-20,2345.TW,智邦,977000,1080000,103000,5.5,6.27,increased
2026-07-20,2383.TW,台光電,563000,563000,0,6.82,6.87,unchanged
2026-07-20,2454.TW,聯發科,406000,406000,0,3.69,3.76,unchanged
2026-07-20,2455.TW,全新,2753000,2753000,0,2.09,2.12,unchanged
2026-07-20,3008.TW,大立光,420000,420000,0,4.54,4.52,unchanged
2026-07-20,3017.TW,奇鋐,1002000,1002000,0,5.94,5.94,unchanged
2026-07-20,3026.TW,禾伸堂,909000,909000,0,1.69,1.57,unchanged
2026-07-20,3037.TW,欣興,2097000,2097000,0,4.49,4.37,unchanged
2026-07-20,3189.TW,景碩,440013,440013,0,0.82,0.83,unchanged
2026-07-20,3260.TW,威剛,358000,358000,0,0.35,0.35,unchanged
2026-07-20,3264.TW,欣銓,72000,72000,0,0.04,0.04,unchanged
2026-07-20,3363.TW,上詮,300000,300000,0,0.41,0.42,unchanged
2026-07-20,3443.TW,創意,211000,211000,0,2.18,2.19,unchanged
2026-07-20,3491.TW,昇達科,1000,1000,0,0.0,0.0,unchanged
2026-07-20,3583.TW,辛耘,147000,147000,0,0.3,0.3,unchanged
2026-07-20,3661.TW,世芯-KY,215000,215000,0,2.02,2.01,unchanged
2026-07-20,3665.TW,貿聯-KY,955000,955000,0,4.54,4.82,unchanged
2026-07-20,3711.TW,日月光投控,1629000,1629000,0,2.7,2.7,unchanged
2026-07-20,5289.TW,宜鼎,98000,98000,0,0.34,0.33,unchanged
2026-07-20,6139.TW,亞翔,250000,250000,0,0.54,0.54,unchanged
2026-07-20,6182.TW,合晶,4500000,4500000,0,1.81,1.69,unchanged
2026-07-20,6187.TW,萬潤,1220000,1220000,0,3.21,3.17,unchanged
2026-07-20,6223.TW,旺矽,326000,326000,0,4.92,4.94,unchanged
2026-07-20,6488.TW,環球晶,394000,394000,0,1.32,1.38,unchanged
2026-07-20,6515.TW,穎崴,99000,99000,0,1.62,1.66,unchanged
2026-07-20,6584.TW,南俊國際,2231000,2231000,0,3.48,3.34,unchanged
2026-07-20,6805.TW,富世達,109000,109000,0,0.4,0.39,unchanged
2026-07-20,7734.TW,印能科技,56000,56000,0,0.43,0.44,unchanged
2026-07-20,7751.TW,竑騰,318000,318000,0,0.97,0.97,unchanged
2026-07-20,8021.TW,尖點,1501000,1501000,0,1.84,1.71,unchanged
2026-07-20,8299.TW,群聯,445000,445000,0,2.14,2.14,unchanged
2026-07-20,8996.TW,高力,1630000,1630000,0,4.46,4.39,unchanged
