date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-29,1590.TW,亞德客-KY,530000,530000,0,0.26,0.26,unchanged
2026-06-29,2002.TW,中鋼,5163000,5163000,0,0.04,0.04,unchanged
2026-06-29,2303.TW,聯電,86550000,86550000,0,5.11,5.1,unchanged
2026-06-29,2308.TW,台達電,5614000,5614000,0,3.66,3.84,unchanged
2026-06-29,2317.TW,鴻海,7307000,7307000,0,0.65,0.65,unchanged
2026-06-29,2327.TW,國巨*,25098000,25098000,0,9.18,9.37,unchanged
2026-06-29,2330.TW,台積電,11960000,11960000,0,10.08,10.18,unchanged
2026-06-29,2345.TW,智邦,6334000,6334000,0,5.43,5.32,unchanged
2026-06-29,2368.TW,金像電,8315000,8315000,0,3.56,3.45,unchanged
2026-06-29,2383.TW,台光電,4486000,4486000,0,8.49,8.78,unchanged
2026-06-29,2449.TW,京元電子,4481000,4481000,0,0.5,0.5,unchanged
2026-06-29,2454.TW,聯發科,5037000,5037000,0,7.04,7.07,unchanged
2026-06-29,3017.TW,奇鋐,5191000,5191000,0,4.22,4.29,unchanged
2026-06-29,3037.TW,欣興,14735000,14735000,0,5.17,5.16,unchanged
2026-06-29,3264.TW,欣銓,1508000,1508000,0,0.12,0.12,unchanged
2026-06-29,3376.TW,新日興,1741000,1741000,0,0.12,0.12,unchanged
2026-06-29,3533.TW,嘉澤,852000,852000,0,0.65,0.65,unchanged
2026-06-29,3653.TW,健策,2267000,2267000,0,2.78,2.7,unchanged
2026-06-29,3665.TW,貿聯-KY,4833848,4833848,0,3.23,3.26,unchanged
2026-06-29,3711.TW,日月光投控,12742000,12742000,0,2.9,2.87,unchanged
2026-06-29,4966.TW,譜瑞-KY,1116000,1116000,0,0.24,0.25,unchanged
2026-06-29,5274.TW,信驊,379000,379000,0,2.13,2.07,unchanged
2026-06-29,5439.TW,高技,3528000,3528000,0,0.38,0.39,unchanged
2026-06-29,6147.TW,頎邦,6275000,6275000,0,0.49,0.48,unchanged
2026-06-29,6187.TW,萬潤,1334000,1334000,0,0.52,0.47,unchanged
2026-06-29,6191.TW,精成科,3988000,3988000,0,0.14,0.15,unchanged
2026-06-29,6223.TW,旺矽,2352000,2367000,15000,5.51,5.15,increased
2026-06-29,6271.TW,同欣電,2966000,2966000,0,0.27,0.26,unchanged
2026-06-29,6274.TW,台燿,5058000,5058000,0,2.88,2.82,unchanged
2026-06-29,6278.TW,台表科,4334000,4334000,0,0.3,0.3,unchanged
2026-06-29,6488.TW,環球晶,350000,350000,0,0.12,0.11,unchanged
2026-06-29,6510.TW,精測,930000,830000,-100000,1.09,0.9,decreased
2026-06-29,6515.TW,穎崴,281000,281000,0,0.83,0.81,unchanged
2026-06-29,6669.TW,緯穎,2417000,2417000,0,3.73,3.97,unchanged
2026-06-29,6805.TW,富世達,1811000,1811000,0,1.07,1.06,unchanged
2026-06-29,8046.TW,南電,8917000,8917000,0,3.61,3.46,unchanged
2026-06-29,8210.TW,勤誠,2267000,2267000,0,1.0,0.99,unchanged
2026-06-29,8358.TW,金居,980000,980000,0,0.2,0.19,unchanged
