date,symbol,name,weight_percent,shares
2026-06-24,2330.TW,台積電,12.02,3400000
2026-06-24,2327.TW,國巨*,9.55,6150000
2026-06-24,2383.TW,台光電,6.99,850000
2026-06-24,2408.TW,南亞科,5.77,8800000
2026-06-24,8299.TW,群聯,5.55,1500000
2026-06-24,2454.TW,聯發科,5.39,850000
2026-06-24,3037.TW,欣興,4.61,3350000
2026-06-24,6223.TW,旺矽,4.41,415000
2026-06-24,6274.TW,台燿,4.18,1600000
2026-06-24,2059.TW,川湖,3.33,300000
2026-06-24,2345.TW,智邦,3.3,940000
2026-06-24,5274.TW,信驊,3.25,120000
2026-06-24,7769.TW,鴻勁,2.9,290000
2026-06-24,2492.TW,華新科,2.79,3200000
2026-06-24,8046.TW,南電,2.68,1900000
2026-06-24,2303.TW,聯電,2.63,10000000
2026-06-24,3189.TW,景碩,2.62,2400000
2026-06-24,3711.TW,日月光投控,2.51,2600000
2026-06-24,6515.TW,穎崴,2.39,170000
2026-06-24,2344.TW,華邦電,2.31,7600000
2026-06-24,8210.TW,勤誠,1.35,690000
2026-06-24,3665.TW,貿聯-KY,1.34,450000
2026-06-24,8996.TW,高力,1.33,620000
2026-06-24,4958.TW,臻鼎-KY,1.3,1500000
2026-06-24,6669.TW,緯穎,1.26,185000
