date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-05-08,1319.TW,東陽,511000,511000,0,0.01,0.02,unchanged
2026-05-08,1590.TW,亞德客-KY,530000,530000,0,0.29,0.3,unchanged
2026-05-08,1815.TW,富喬,107000,107000,0,0.0,0.0,unchanged
2026-05-08,2002.TW,中鋼,5163000,5163000,0,0.04,0.04,unchanged
2026-05-08,2303.TW,聯電,46374000,46374000,0,1.64,1.59,unchanged
2026-05-08,2308.TW,台達電,6572000,6572000,0,5.49,5.44,unchanged
2026-05-08,2313.TW,華通,2624000,2624000,0,0.24,0.25,unchanged
2026-05-08,2317.TW,鴻海,14177000,14177000,0,1.32,1.33,unchanged
2026-05-08,2327.TW,國巨*,17221000,17221000,0,2.35,2.52,unchanged
2026-05-08,2330.TW,台積電,11359000,11359000,0,9.62,9.78,unchanged
2026-05-08,2337.TW,旺宏,8000,8000,0,0.0,0.0,unchanged
2026-05-08,2345.TW,智邦,6231000,6231000,0,5.85,5.56,unchanged
2026-05-08,2357.TW,華碩,1996000,1996000,0,0.47,0.49,unchanged
2026-05-08,2368.TW,金像電,8260000,8260000,0,4.39,4.13,unchanged
2026-05-08,2383.TW,台光電,4605000,4605000,0,8.38,8.22,unchanged
2026-05-08,2404.TW,漢唐,1093000,1394000,301000,0.4,0.53,increased
2026-05-08,2439.TW,美律,18000,18000,0,0.0,0.0,unchanged
2026-05-08,2449.TW,京元電子,12919000,12919000,0,1.61,1.51,unchanged
2026-05-08,2454.TW,聯發科,4463000,4463000,0,5.6,6.09,unchanged
2026-05-08,2481.TW,強茂,3654000,3654000,0,0.14,0.14,unchanged
2026-05-08,3017.TW,奇鋐,4082000,4202000,120000,3.61,3.86,increased
2026-05-08,3037.TW,欣興,10387000,10387000,0,3.41,3.19,unchanged
2026-05-08,3189.TW,景碩,5360000,3744000,-1616000,0.97,0.64,decreased
2026-05-08,3217.TW,優群,874000,874000,0,0.06,0.06,unchanged
2026-05-08,3264.TW,欣銓,9030000,9030000,0,0.82,0.76,unchanged
2026-05-08,3376.TW,新日興,1741000,1741000,0,0.14,0.13,unchanged
2026-05-08,3443.TW,創意,764000,764000,0,1.53,1.5,unchanged
2026-05-08,3653.TW,健策,2267000,2267000,0,3.22,3.11,unchanged
2026-05-08,3661.TW,世芯-KY,296000,296000,0,0.52,0.54,unchanged
2026-05-08,3665.TW,貿聯-KY,4703848,4703848,0,4.8,4.86,unchanged
2026-05-08,3711.TW,日月光投控,13833000,13833000,0,2.74,2.68,unchanged
2026-05-08,4966.TW,譜瑞-KY,386000,486000,100000,0.09,0.12,increased
2026-05-08,5274.TW,信驊,483000,483000,0,3.17,3.08,unchanged
2026-05-08,5347.TW,世界,63000,1000,-62000,0.0,0.0,decreased
2026-05-08,5439.TW,高技,3228000,3228000,0,0.48,0.47,unchanged
2026-05-08,6147.TW,頎邦,7985000,1000,-7984000,0.56,0.0,decreased
2026-05-08,6187.TW,萬潤,1224000,1224000,0,0.51,0.49,unchanged
2026-05-08,6191.TW,精成科,3988000,3988000,0,0.15,0.14,unchanged
2026-05-08,6223.TW,旺矽,1922000,2054000,132000,3.55,3.88,increased
2026-05-08,6274.TW,台燿,4151000,4151000,0,2.2,2.14,unchanged
2026-05-08,6415.TW,矽力*-KY,660000,660000,0,0.1,0.11,unchanged
2026-05-08,6510.TW,精測,930000,930000,0,1.27,1.25,unchanged
2026-05-08,6515.TW,穎崴,422000,422000,0,1.53,1.53,unchanged
2026-05-08,6669.TW,緯穎,1819000,2047000,228000,3.26,4.0,increased
2026-05-08,6805.TW,富世達,1761000,1761000,0,1.24,1.31,unchanged
2026-05-08,8046.TW,南電,12658000,12658000,0,4.4,4.06,unchanged
2026-05-08,8150.TW,南茂,11334000,11334000,0,0.41,0.39,unchanged
2026-05-08,8210.TW,勤誠,1540000,1540000,0,0.73,0.82,unchanged
2026-05-08,8358.TW,金居,5558000,1980000,-3578000,0.96,0.34,decreased
2026-05-08,8996.TW,高力,1034000,1034000,0,0.41,0.39,unchanged
