date,symbol,name,weight_percent,shares
2026-06-01,2330.TW,台積電,9.71,11960000
2026-06-01,2383.TW,台光電,7.84,4486000
2026-06-01,2454.TW,聯發科,6.7,4263000
2026-06-01,2308.TW,台達電,5.48,6572000
2026-06-01,2345.TW,智邦,5.39,6231000
2026-06-01,2327.TW,國巨*,4.99,18313000
2026-06-01,3017.TW,奇鋐,4.99,5191000
2026-06-01,6669.TW,緯穎,4.63,2437000
2026-06-01,3037.TW,欣興,4.51,12466000
2026-06-01,6223.TW,旺矽,4.25,2169000
2026-06-01,3711.TW,日月光投控,3.72,17948000
2026-06-01,2303.TW,聯電,3.61,71690000
2026-06-01,2368.TW,金像電,3.55,7769000
2026-06-01,3665.TW,貿聯-KY,3.44,4703848
2026-06-01,8046.TW,南電,3.38,10828000
2026-06-01,3653.TW,健策,3.0,2267000
2026-06-01,5274.TW,信驊,2.69,422000
2026-06-01,6274.TW,台燿,2.59,4400000
2026-06-01,6515.TW,穎崴,1.33,442000
2026-06-01,6805.TW,富世達,1.29,1761000
2026-06-01,6510.TW,精測,1.06,930000
2026-06-01,8210.TW,勤誠,1.05,2167000
2026-06-01,3533.TW,嘉澤,0.79,852000
2026-06-01,2317.TW,鴻海,0.74,7307000
2026-06-01,2404.TW,漢唐,0.69,1715000
2026-06-01,2449.TW,京元電子,0.57,5208000
2026-06-01,6147.TW,頎邦,0.57,5775000
2026-06-01,2382.TW,廣達,0.52,4025000
2026-06-01,4966.TW,譜瑞-KY,0.49,1642000
2026-06-01,6187.TW,萬潤,0.49,1334000
2026-06-01,5439.TW,高技,0.46,3528000
2026-06-01,8358.TW,金居,0.46,1980000
2026-06-01,3008.TW,大立光,0.44,329000
2026-06-01,8150.TW,南茂,0.43,11635000
2026-06-01,8996.TW,高力,0.37,1034000
2026-06-01,6278.TW,台表科,0.28,3734000
2026-06-01,3443.TW,創意,0.27,167000
2026-06-01,1590.TW,亞德客-KY,0.25,530000
2026-06-01,3264.TW,欣銓,0.16,2117000
2026-06-01,3376.TW,新日興,0.13,1741000
2026-06-01,6191.TW,精成科,0.13,3988000
2026-06-01,6271.TW,同欣電,0.06,686000
2026-06-01,2002.TW,中鋼,0.03,5163000
2026-06-01,2313.TW,華通,0.03,329000
2026-06-01,1319.TW,東陽,0.02,511000
2026-06-01,1815.TW,富喬,0.0,107000
2026-06-01,2357.TW,華碩,0.0,1000
2026-06-01,2439.TW,美律,0.0,18000
2026-06-01,2481.TW,強茂,0.0,5000
2026-06-01,5347.TW,世界,0.0,1000
2026-06-01,3661.TW,世芯-KY,0.0,1000
